id,Timestamp,Category,Money,Description,Details
779459754,2022-07-27T00:03:46.743452+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
778261113,2022-07-26T04:03:25.023214+00:00,executive salaries,-20001,Executive salaries,{}
778196250,2022-07-26T02:54:58.858094+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
778196197,2022-07-26T02:54:54.484226+00:00,production,-31147,Production of Energy research,"{""amount"": 163, ""price"": ""$191.09"", ""quality"": 0}"
778196141,2022-07-26T02:54:50.267276+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
778195980,2022-07-26T02:54:38.579680+00:00,production,-31004,Production of Electronics research,"{""amount"": 118, ""price"": ""$262.75"", ""quality"": 0}"
777908660,2022-07-26T00:06:10.910300+00:00,interest,-825,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SharkzInc.""}"
777908644,2022-07-26T00:06:10.880108+00:00,interest,-357,Bond interest payment,"{""bond value"": ""$70000"", ""interest"": ""0.5%"", ""owner"": ""Rune Store DUS""}"
777908631,2022-07-26T00:06:10.849429+00:00,interest,-255,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Green Electricity""}"
777907881,2022-07-26T00:06:09.172422+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Frosch Corb.""}"
777906067,2022-07-26T00:06:04.941921+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""SF AEROSPACE INDUSTRY""}"
777906058,2022-07-26T00:06:04.925707+00:00,interest,-790,Bond interest payment,"{""bond value"": ""$155000"", ""interest"": ""0.5%"", ""owner"": ""Deekshi Inc""}"
777905984,2022-07-26T00:06:04.797716+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
